CDREDE;DE;CODMUN;MUN;CATEG;TIPOESC;COD_ESC;NOMESC;AL_ALEMAO_DU;AL_ESPANHOL_DU;AL_FRANCES_DU;AL_INGLES_DU;AL_ITALIANO_DU;AL_JAPONES_DU;AL_MANDARIM_DU;TOTAL_AL_DU;AL_ALEMAO_SAB_SEMANA;AL_ESPANHOL_SAB_SEMANA;AL_FRANCES_SAB_SEMANA;AL_INGLES_SAB_SEMANA;AL_ITALIANO_SAB_SEMANA;AL_JAPONES_SAB_SEMANA;AL_MANDARIM_SAB_SEMANA;TOTAL_AL_SAB_SEMANA;AL_ALEMAO_SAB;AL_ESPANHOL_SAB;AL_FRANCES_SAB;AL_INGLES_SAB;AL_ITALIANO_SAB;AL_JAPONES_SAB;AL_MANDARIM_SAB;TOTAL_AL_SAB;CL_ALEMAO_DU;CL_ESPANHOL_DU;CL_FRANCES_DU;CL_INGLES_DU;CL_ITALIANO_DU;CL_JAPONES_DU;CL_MANDARIM_DU;TOTAL_CL_DU;CL_ALEMAO_SAB_SEMANA;CL_ESPANHOL_SAB_SEMANA;CL_FRANCES_SAB_SEMANA;CL_INGLES_SAB_SEMANA;CL_ITALIANO_SAB_SEMANA;CL_JAPONES_SAB_SEMANA;CL_MANDARIM_SAB_SEMANA;TOTAL_CL_SAB_SEMANA;CL_ALEMAO_SAB;CL_ESPANHOL_SAB;CL_FRANCES_SAB;CL_INGLES_SAB;CL_ITALIANO_SAB;CL_JAPONES_SAB;CL_MANDARIM_SAB;TOTAL_CL_SAB;TOTAL_TOTAL_AL;TOTAL_TOTAL_CL
20511;TAQUARITINGA;344;IBITINGA;2;6;459100;CEL JTO A EE IRACEMA DE OLIVEIRA CARLOS;0;0;0;30;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;1
20511;TAQUARITINGA;375;ITAPOLIS;2;6;985338;CEL JTO A EE ANTONIO MORAES BARROS DR;0;0;0;31;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;1
20511;TAQUARITINGA;684;TAQUARITINGA;2;6;985545;CEL JTO A EE 9 DE JULHO;0;0;0;26;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;25;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;51;2
20601;BAURU;209;BAURU;2;6;985582;CEL JTO A EE CHRISTINO CABRAL PROF;0;0;0;20;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2
20601;BAURU;416;LENCOIS PAULISTA;2;6;458211;CEL JTO A EE VIRGILIO CAPOANI;0;0;0;63;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;4
20602;JAU;289;DOIS CORREGOS;2;6;459598;CEL JTO A EE JOSE ALVES MIRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;31;1
20602;JAU;401;JAU;2;6;985348;CEL JTO A EE MAJOR PRADO;0;0;0;26;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;51;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;77;3
20701;CATANDUVA;260;CATANDUVA;2;6;363613;CEL JTO A EE BARAO DO RIO BRANCO;0;0;0;22;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;28;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;50;2
20701;CATANDUVA;483;NOVO HORIZONTE;2;6;458788;CEL JTO A EE MARIO FLORENCE PROFESSOR;0;0;0;18;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1
20703;JALES;396;JALES;2;6;985715;CEL JTO A EE DOM ARTUR HORSTHUIS;0;0;0;20;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;60;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;80;3
