ARVORE,TIPO_ARVORE,OPERACAO,MEDIA_TEMPO,MEDIA_COMP,N_ITENS
1,BST,busca,547.58,14.31,100
1,AVL,busca,142.84,6.02,100
2,BST,busca,458.51,15.14,100
2,AVL,busca,99.7,6.39,100
3,BST,busca,426.85,16.73,100
3,AVL,busca,99.71,6.04,100
4,BST,busca,349.08,15.02,100
4,AVL,busca,125.61,6.26,100
5,BST,busca,386.72,14.14,100
5,AVL,busca,110.78,6.13,100
6,BST,busca,383.27,13.25,100
6,AVL,busca,195.26,5.97,100
7,BST,busca,387.24,14.12,100
7,AVL,busca,111.81,6.17,100
8,BST,busca,365.93,13.42,100
8,AVL,busca,87.25,6.03,100
9,BST,busca,365.43,13.16,100
9,AVL,busca,122.33,6.21,100
10,BST,busca,361.05,13.99,100
10,AVL,busca,87.89,6.02,100
1,BST,remocao,6636.1,11.4,10
1,AVL,remocao,2386.0,7.9,10
2,BST,remocao,5219.9,12.5,10
2,AVL,remocao,1187.3,8.3,10
3,BST,remocao,1265.2,13.6,10
3,AVL,remocao,804.3,8.4,10
4,BST,remocao,1294.5,11.9,10
4,AVL,remocao,1309.8,8.4,10
5,BST,remocao,1473.2,10.9,10
5,AVL,remocao,1166.6,8.0,10
6,BST,remocao,1228.1,10.5,10
6,AVL,remocao,733.6,8.1,10
7,BST,remocao,1165.0,10.9,10
7,AVL,remocao,1428.7,8.0,10
8,BST,remocao,1451.3,10.2,10
8,AVL,remocao,795.8,7.9,10
9,BST,remocao,1052.4,10.3,10
9,AVL,remocao,386.0,7.6,10
10,BST,remocao,1455.0,10.5,10
10,AVL,remocao,558.1,8.0,10
1,BST,remocao,3509.93,11.07,30
1,AVL,remocao,1839.97,7.23,30
2,BST,remocao,1392.67,11.87,30
2,AVL,remocao,516.13,7.17,30
3,BST,remocao,952.4,13.43,30
3,AVL,remocao,1874.53,7.37,30
4,BST,remocao,948.67,11.67,30
4,AVL,remocao,356.67,7.43,30
5,BST,remocao,747.57,10.9,30
5,AVL,remocao,352.0,6.9,30
6,BST,remocao,859.33,10.0,30
6,AVL,remocao,363.1,6.23,30
7,BST,remocao,539.43,10.7,30
7,AVL,remocao,222.67,6.53,30
8,BST,remocao,437.4,9.87,30
8,AVL,remocao,226.97,6.33,30
9,BST,remocao,550.53,9.87,30
9,AVL,remocao,209.6,5.7,30
10,BST,remocao,398.53,10.4,30
10,AVL,remocao,253.83,6.87,30
1,BST,remocao,3426.62,11.26,50
1,AVL,remocao,2232.9,6.98,50
2,BST,remocao,856.18,12.02,50
2,AVL,remocao,812.34,7.24,50
3,BST,remocao,896.22,13.62,50
3,AVL,remocao,425.28,7.1,50
4,BST,remocao,664.06,11.86,50
4,AVL,remocao,311.46,6.96,50
5,BST,remocao,596.4,10.98,50
5,AVL,remocao,260.64,7.26,50
6,BST,remocao,478.68,10.14,50
6,AVL,remocao,255.38,6.76,50
7,BST,remocao,457.92,10.9,50
7,AVL,remocao,306.62,7.06,50
8,BST,remocao,476.96,10.22,50
8,AVL,remocao,263.42,6.08,50
9,BST,remocao,462.78,10.02,50
9,AVL,remocao,235.7,6.02,50
10,BST,remocao,555.78,10.7,50
10,AVL,remocao,382.32,7.42,50
1,BST,remocao,2198.29,12.08,100
1,AVL,remocao,1474.38,6.76,100
2,BST,remocao,815.34,12.91,100
2,AVL,remocao,497.22,7.16,100
3,BST,remocao,588.43,14.5,100
3,AVL,remocao,321.94,6.86,100
4,BST,remocao,379.23,12.75,100
4,AVL,remocao,262.78,7.07,100
5,BST,remocao,442.45,11.87,100
5,AVL,remocao,233.18,6.94,100
6,BST,remocao,396.13,10.98,100
6,AVL,remocao,304.03,6.71,100
7,BST,remocao,390.51,11.85,100
7,AVL,remocao,239.32,6.85,100
8,BST,remocao,369.45,11.23,100
8,AVL,remocao,285.48,6.72,100
9,BST,remocao,385.05,10.89,100
9,AVL,remocao,231.21,6.77,100
10,BST,remocao,370.28,11.72,100
10,AVL,remocao,238.39,6.76,100
